Manufacturer,Position,Part Code (MPN),Part Description
Sanremo,154a,10252079A,EL.150W 120V 1-2GR ELECTICAL MOTOR 150W 120V 1-2GR
Sanremo,154b,10252080A,EL.150W 230V 1-2GR ELECTICAL MOTOR 230W 230V 1-2GR
Sanremo,154c,10252086,EL.165W 230V 2-3GR ELECTICAL MOTOR 165W 230V 2-3GR
Sanremo,Spare,parts,Ed. 07/200914
Sanremo,155,10805562,D4x16x1.5 PIANA ZN PLANE WASHER D4x16x1.5 
Sanremo,156,10255022,PUFFER A10X10 M4 SHOCK ABSORBER PUFFER A10X10 M4
Sanremo,157,10805512,4MA MEDIO ZN MIDDLE NUT 4MA
Sanremo,158a,10102190,"ALIMEN. 3X2,5 MONOFASE MONOFASE POWER SUPPY CABLE 3X2,5"
Sanremo,158b,10102191,"ALIMEN. 5X2,5 TRIFASE TRIFASE POWER SUPPY CABLE 5X2,5"
Sanremo,158c,10102193,ALIMEN. 3X4 POWER SUPPY CABLE 3X4
Sanremo,158d,10102196,3x12AWG SJOOW CABLE 3x12AWG SJOOW
Sanremo,158e,10102197,3x14AWG SJOOW CABLE 3x14AWG SJOOW
Sanremo,159a,10122036A,MONOFASE MONOFASE SWITCH 
Sanremo,159b,10122038A,TRIFASE TRIFASE SWITCH
Sanremo,160,10955015,TRIANG.TENSIONE VOLTAGE STICKER
Sanremo,161,10105180,2 VIE M. 2 WAY BLOCK
Sanremo,162a,10553021,ARANCIO D6 230V CABLATA WIRED INDICATOR LIGHT D6 230V ORANGE
Sanremo,162b,10553024,ARANCIO D6 120V CABLATA WIRED  INDICATOR LIGHT D6 120V ORANGE
Sanremo,163,10809019,TBEI M3X8 BRUNITE SCREW TBEI M3X8
Sanremo,164,10092160A,COMMUTATORE ROMA SWITCH KNOB
Sanremo,165,10805142,TC+ M3X25 TRUC.ZN NERA SCREW TC+ M3X25 TRUC.ZN NERA
Sanremo,166,10111010,90° AUTOMATICO AUTOMATIC THERMOSTAT 90°
Sanremo,167a,10455046,SCALDAT. ROMA 2GR 230V D.6 CUP WARMER ELECTRICAL RESISTENCE 2GR 230V D6
Sanremo,167b,10455048,SCALDAT. ROMA 3GR 230V D.6 CUP WARMER ELECTRICAL RESISTENCE 3GR 230V D6
Sanremo,168,10852050A,"8-1/8""M 1050 JOINT 8-1/8M"
Sanremo,169,10402059,"RUB.SCARICO 1/8""F 2839 DRAIN TAP 1/8""F"
Sanremo,170,10402060,RUB.SCARICO CALDAIA BOILER DRAIN TAP KNOB 
Sanremo,171,10853058,"RACC.DRIT. PORTAGOMMA 6-1/8""M 1510 STRAIGHT JOINT  6-1/8M"
Sanremo,172,10905010,SILICONE 7X4 SILICON TUBE 7X4
Sanremo,173,10805318,TE M5X20 C/FLANG. ZN FLANGED SCREW TE M5X20 ZN
Sanremo,174,10051138,"SUPERIORE TCS 3/8""F 1/4""F F1/4"" SONDA SUPERIOR TCS BOILER  3/8f 1/4F PROBE"
Sanremo,Spare,parts,Ed. 07/200915
Sanremo,175,10455014,1000W 230V RAME CALD.TCS TCS BOILER COPPER ELECTRICAL RESISTENCE 1000W 230V
Sanremo,176,10505080,3281 VITON NERO BLACK VITON O-RING 3281
Sanremo,177,10505082,"D9X2,2 SILICONE SILICON O-RING D9X2,2"
Sanremo,178,10051108,"INFERIORE TCS 1/4""F F.RESIS.F.M4 TCS LOWER BOILER 1/4""F HOLEELECTRICAL  RESISTENCE "
Sanremo,179,10805592,"M10X1 ES13X4,5 FE ZN NUT M10X1 HEXAGONAL 13X4,5"
Sanremo,180,10805532,5MA FLANG.ZIGR. A2 FLANGED NUT 5MA
Sanremo,181,10105310,"6,3 MASCHIO A 120° FASTON 6,3 M 120°"
Sanremo,182,10803520,"D5,3 DENT.ZN TOOTHED WASHER D5,3 "
Sanremo,183,10051128,COMPL.TCS SX C/FORO NTC 1000W 230V LEFT COMPLETE TCS BOILER WITH HOLE NTC 1000W 230V
Sanremo,184,10051132,CALDAIA TCS SX C/NTC 1000W 230V LEFT TCS BOILER ASSEMBLY  WITH HOLE NTC 1000W 230V
Sanremo,185,10051126,COMPL.TCS DX C/FORO NTC 1000W 230V RIGHT  COMPLETE TCS BOILER WITH HOLE NTC 1000W 230V
Sanremo,186,10051130,CALDAIA TCS DX C/NTC 1000W 230V RIGHT TCS BOILER ASSEMBLY  WITH HOLE NTC 1000W 230V
Sanremo,187,10042042,CALDAIA TCS D.8 TCS BOILER INJECTOR D8
Sanremo,188,10852180,"RAME 1/4"" COPPER WASHER 1/4"
Sanremo,189,10852240A,"6-1/4""S.C.RACC.GIREVEVOLE 1170 SWIVEL FITTING 6-1/4 "
Sanremo,190,10111049,135° A RIARMO THERMOSTAT 135° 
Sanremo,191,10853226,SCAMB.SUP.PISA 3/8X3/8 SUPERIOR MIXED FITTING 3/8X3/8
Sanremo,192,10852292,"DR.3/8""M 1/4""M CORTO  SHORT STRAIGHT FITTING 3/8M"
Sanremo,193,10106060,OTT.COLLEG.RESISTENZA ELECRTICAL RESISTENCE JUNCTION 
Sanremo,194a,10455052,2700W 230V RAME COPPER ELECTRICAL RESISTENCE 2700W 230V
Sanremo,194b,10455053,2700W 120V RAME COPPER ELECTRICAL RESISTENCE 2700W 120V
Sanremo,195,10502020,PTFE PER RESIST. PTFE ELECTICAL RESISTENCE WASHER 
Sanremo,196,10852092,"RIDUZ.IONE 3/8""M - 1/4""F 2530 REDUCTION 3/8M- 1/4F"
Sanremo,197,10852250A,"6-1/4""M 1020 FITTING 6-1/4M"
Sanremo,198,10852065A,"6-1/4""F 1093 FITTING 6-1/4F"
Sanremo,199,10652040A,DI SFIATO CALDAIA BOILER ANTI VACUUM VALVE
Sanremo,Spare,parts,Ed. 07/200916
Sanremo,200,10112064,LIVELLO 120mm LEVEL PROBE 120mm
Sanremo,201,10652012,SICUREZZA SAFETY VALVE
Sanremo,202,10806324,"3/8"" RAME COPPER WASHER 3/8"
Sanremo,203,10022480,SCAR. VALVOLA DI SICUR. SAFETY VALVE DRAIN  BOX
Sanremo,204,10112178,DI TEMP. TEMPERATURE PROBE
Sanremo,205a,10002636A,2GR D.180 BOILER 2GR D180
Sanremo,205b,10002637A,3GR D.180 BOILER 3GR D180
Sanremo,206,10852540,"1/4""M TAPPO 2611 CAP 1/4M"
